State,County,Uninsured adults
VA,Buchanan County,0.179
VA,Buchanan County,0.187
VA,Buckingham County,0.234
VA,Buckingham County,0.237
VA,Buena Vista city,0.207
VA,Buena Vista city,0.2
VA,Campbell County,0.193
VA,Campbell County,0.19
VA,Caroline County,0.192
VA,Caroline County,0.193
VA,Carroll County,0.224
VA,Carroll County,0.243
VA,Charles City County,0.224
VA,Charles City County,0.238
VA,Charlotte County,0.238
VA,Charlotte County,0.244
VA,Charlottesville city,0.202
VA,Charlottesville city,0.199
VA,Chesapeake city,0.151
VA,Chesapeake city,0.146
VA,Chesterfield County,0.16
VA,Chesterfield County,0.154
VA,Clarke County,0.144
VA,Clarke County,0.153
VA,Colonial Heights city,0.189
VA,Colonial Heights city,0.176
VA,Covington city,0.192
VA,Covington city,0.192
VA,Craig County,0.181
VA,Craig County,0.194
VA,Culpeper County,0.207
VA,Culpeper County,0.204
VA,Cumberland County,0.246
VA,Cumberland County,0.236
VA,Danville city,0.209
VA,Danville city,0.208
VA,Dickenson County,0.19
VA,Dickenson County,0.199
VA,Dinwiddie County,0.181
VA,Dinwiddie County,0.195
VA,Emporia city,0.21
VA,Emporia city,0.211
VA,Essex County,0.202
VA,Essex County,0.209
VA,Fairfax County,0.149
VA,Fairfax County,0.161
VA,Fairfax city,0.153
VA,Fairfax city,0.156
VA,Falls Church city,0.091
VA,Falls Church city,0.087
VA,Fauquier County,0.152
VA,Fauquier County,0.148
VA,Floyd County,0.218
VA,Floyd County,0.229
VA,Fluvanna County,0.164
VA,Fluvanna County,0.164
VA,Franklin County,0.213
VA,Franklin County,0.221
VA,Franklin city,0.201
VA,Franklin city,0.201
VA,Frederick County,0.174
VA,Frederick County,0.187
VA,Fredericksburg city,0.217
VA,Fredericksburg city,0.199
VA,Galax city,0.26
VA,Galax city,0.249
VA,Giles County,0.192
VA,Giles County,0.195
VA,Gloucester County,0.178
VA,Gloucester County,0.176
VA,Goochland County,0.108
VA,Goochland County,0.101
VA,Grayson County,0.217
VA,Grayson County,0.236
VA,Greene County,0.217
VA,Greene County,0.208
VA,Greensville County,0.172
VA,Greensville County,0.195
VA,Halifax County,0.203
VA,Halifax County,0.214
VA,Hampton city,0.17
VA,Hampton city,0.168
VA,Hanover County,0.12
VA,Hanover County,0.121
VA,Harrisonburg city,0.261
VA,Harrisonburg city,0.22
VA,Henrico County,0.17
VA,Henrico County,0.178
VA,Henry County,0.24
VA,Henry County,0.243
VA,Hopewell city,0.235
VA,Hopewell city,0.218
VA,Isle of Wight County,0.15
VA,Isle of Wight County,0.145
VA,James City County,0.136
VA,James City County,0.139
VA,King George County,0.122
VA,King George County,0.128
VA,King William County,0.175
VA,King William County,0.174
VA,King and Queen County,0.214
VA,King and Queen County,0.212
VA,Lancaster County,0.199
VA,Lancaster County,0.191
VA,Lee County,0.192
VA,Lee County,0.209
VA,Lexington city,0.211
VA,Lexington city,0.204
VA,Loudoun County,0.116
VA,Loudoun County,0.115
VA,Louisa County,0.196
VA,Louisa County,0.196
VA,Lunenburg County,0.229
VA,Lunenburg County,0.244
VA,Lynchburg city,0.207
VA,Lynchburg city,0.2
VA,Madison County,0.216
VA,Madison County,0.214
VA,Manassas Park city,0.284
VA,Manassas Park city,0.271
VA,Manassas city,0.258
VA,Manassas city,0.263
VA,Martinsville city,0.2
VA,Martinsville city,0.207
VA,Mathews County,0.185
VA,Mathews County,0.187
VA,Mecklenburg County,0.223
VA,Mecklenburg County,0.231
VA,Middlesex County,0.199
VA,Middlesex County,0.194
VA,Montgomery County,0.18
VA,Montgomery County,0.182
VA,Nelson County,0.21
VA,Nelson County,0.209
VA,New Kent County,0.152
VA,New Kent County,0.163
VA,Newport News city,0.196
VA,Newport News city,0.189
VA,Norfolk city,0.219
VA,Norfolk city,0.209
VA,Northampton County,0.251
VA,Northampton County,0.246
VA,Northumberland County,0.213
VA,Northumberland County,0.221
VA,Norton city,0.146
VA,Norton city,0.158
VA,Nottoway County,0.231
VA,Nottoway County,0.226
VA,Orange County,0.19
VA,Orange County,0.196
VA,Page County,0.215
VA,Page County,0.214
VA,Patrick County,0.218
VA,Patrick County,0.228
VA,Petersburg city,0.218
VA,Petersburg city,0.21
VA,Pittsylvania County,0.206
VA,Pittsylvania County,0.2
VA,Poquoson city,0.118
VA,Poquoson city,0.118
VA,Portsmouth city,0.197
VA,Portsmouth city,0.198
VA,Powhatan County,0.161
VA,Powhatan County,0.164
VA,Prince Edward County,0.211
VA,Prince Edward County,0.214
VA,Prince George County,0.139
VA,Prince George County,0.16
VA,Prince William County,0.17
VA,Prince William County,0.174
VA,Pulaski County,0.19
VA,Pulaski County,0.185
VA,Radford city,0.208
VA,Radford city,0.206
VA,Rappahannock County,0.18
VA,Rappahannock County,0.192
VA,Richmond County,0.216
VA,Richmond County,0.227
VA,Richmond city,0.227
VA,Richmond city,0.227
VA,Roanoke County,0.136
VA,Roanoke County,0.137
VA,Roanoke city,0.223
VA,Roanoke city,0.231
VA,Rockbridge County,0.203
VA,Rockbridge County,0.208
VA,Rockingham County,0.217
VA,Rockingham County,0.207
VA,Russell County,0.202
VA,Russell County,0.207
VA,Salem city,0.165
VA,Salem city,0.166
VA,Scott County,0.195
VA,Scott County,0.194
VA,Shenandoah County,0.216
VA,Shenandoah County,0.207
VA,Smyth County,0.211
VA,Smyth County,0.199
VA,Southampton County,0.183
VA,Southampton County,0.205
VA,Spotsylvania County,0.167
VA,Spotsylvania County,0.167
VA,Stafford County,0.13
VA,Stafford County,0.125
VA,Staunton city,0.203
VA,Staunton city,0.207
VA,Suffolk city,0.159
VA,Suffolk city,0.155
VA,Surry County,0.181
VA,Surry County,0.184
VA,Sussex County,0.209
VA,Sussex County,0.226
VA,Tazewell County,0.201
VA,Tazewell County,0.205
VA,Virginia Beach city,0.16
VA,Virginia Beach city,0.152
VA,Warren County,0.193
VA,Warren County,0.194
VA,Washington County,0.19
VA,Washington County,0.194
VA,Waynesboro city,0.208
VA,Waynesboro city,0.198
VA,Westmoreland County,0.233
VA,Westmoreland County,0.235
VA,Williamsburg city,0.193
VA,Williamsburg city,0.171
VA,Winchester city,0.251
VA,Winchester city,0.239
VA,Wise County,0.192
VA,Wise County,0.199
VA,Wythe County,0.208
VA,Wythe County,0.203
VA,York County,0.121
VA,York County,0.119
VT,Addison County,0.104
VT,Addison County,0.096
VT,Bennington County,0.104
VT,Bennington County,0.104
VT,Caledonia County,0.112
VT,Caledonia County,0.099
VT,Chittenden County,0.085
VT,Chittenden County,0.08
VT,Essex County,0.135
VT,Essex County,0.124
VT,Franklin County,0.102
VT,Franklin County,0.099
VT,Grand Isle County,0.102
VT,Grand Isle County,0.091
VT,Lamoille County,0.108
VT,Lamoille County,0.109
VT,Orange County,0.101
VT,Orange County,0.104
VT,Orleans County,0.129
VT,Orleans County,0.123
VT,Rutland County,0.099
VT,Rutland County,0.1
VT,Washington County,0.088
VT,Washington County,0.089
VT,Windham County,0.1
VT,Windham County,0.102
VT,Windsor County,0.09
VT,Windsor County,0.091
WA,Adams County,0.353
WA,Adams County,0.328
WA,Asotin County,0.186
WA,Asotin County,0.187
WA,Benton County,0.207
WA,Benton County,0.191
WA,Chelan County,0.265
WA,Chelan County,0.252
WA,Clallam County,0.225
WA,Clallam County,0.224
WA,Clark County,0.19
WA,Clark County,0.198
WA,Columbia County,0.183
WA,Columbia County,0.201
WA,Cowlitz County,0.203
WA,Cowlitz County,0.201
WA,Douglas County,0.296
WA,Douglas County,0.287
WA,Ferry County,0.245
WA,Ferry County,0.258
WA,Franklin County,0.343
WA,Franklin County,0.316
WA,Garfield County,0.186
WA,Garfield County,0.181
WA,Grant County,0.317
WA,Grant County,0.302
WA,Grays Harbor County,0.256
WA,Grays Harbor County,0.246
WA,Island County,0.164
WA,Island County,0.159
WA,Jefferson County,0.185
WA,Jefferson County,0.189
WA,King County,0.165
WA,King County,0.164
WA,Kitsap County,0.161
WA,Kitsap County,0.166
WA,Kittitas County,0.219
WA,Kittitas County,0.208
WA,Klickitat County,0.239
WA,Klickitat County,0.226
WA,Lewis County,0.226
WA,Lewis County,0.223
WA,Lincoln County,0.199
WA,Lincoln County,0.203
WA,Mason County,0.232
WA,Mason County,0.229
WA,Okanogan County,0.295
WA,Okanogan County,0.314
WA,Pacific County,0.256
WA,Pacific County,0.242
WA,Pend Oreille County,0.207
WA,Pend Oreille County,0.203
WA,Pierce County,0.193
WA,Pierce County,0.198
WA,San Juan County,0.226
WA,San Juan County,0.247
WA,Skagit County,0.237
WA,Skagit County,0.228
WA,Skamania County,0.191
WA,Skamania County,0.189
WA,Snohomish County,0.181
WA,Snohomish County,0.183
WA,Spokane County,0.196
WA,Spokane County,0.186
WA,Stevens County,0.22
WA,Stevens County,0.218
WA,Thurston County,0.17
WA,Thurston County,0.18
WA,Wahkiakum County,0.202
WA,Wahkiakum County,0.192
WA,Walla Walla County,0.227
WA,Walla Walla County,0.232
WA,Whatcom County,0.23
WA,Whatcom County,0.219
WA,Whitman County,0.181
WA,Whitman County,0.175
WA,Yakima County,0.341
WA,Yakima County,0.345
WI,Adams County,0.143
WI,Adams County,0.145
WI,Ashland County,0.16
WI,Ashland County,0.157
WI,Barron County,0.133
WI,Barron County,0.137
WI,Bayfield County,0.166
WI,Bayfield County,0.166
WI,Brown County,0.14
WI,Brown County,0.134
WI,Buffalo County,0.131
WI,Buffalo County,0.133
WI,Burnett County,0.168
WI,Burnett County,0.161
WI,Calumet County,0.093
WI,Calumet County,0.089
WI,Chippewa County,0.116
WI,Chippewa County,0.115
WI,Clark County,0.204
WI,Clark County,0.201
WI,Columbia County,0.103
WI,Columbia County,0.107
WI,Crawford County,0.128
WI,Crawford County,0.129
WI,Dane County,0.097
WI,Dane County,0.1
WI,Dodge County,0.113
WI,Dodge County,0.108
WI,Door County,0.132
WI,Door County,0.134
WI,Douglas County,0.132
WI,Douglas County,0.137
WI,Dunn County,0.119
WI,Dunn County,0.129
WI,Eau Claire County,0.123
WI,Eau Claire County,0.119
WI,Florence County,0.147
WI,Florence County,0.148
WI,Fond du Lac County,0.115
WI,Fond du Lac County,0.123
WI,Forest County,0.181
WI,Forest County,0.183
WI,Grant County,0.141
WI,Grant County,0.141
WI,Green County,0.117
WI,Green County,0.116
WI,Green Lake County,0.132
WI,Green Lake County,0.136
WI,Iowa County,0.113
WI,Iowa County,0.116
WI,Iron County,0.142
WI,Iron County,0.136
WI,Jackson County,0.143
WI,Jackson County,0.163
WI,Jefferson County,0.115
WI,Jefferson County,0.117
WI,Juneau County,0.149
WI,Juneau County,0.152
WI,Kenosha County,0.134
WI,Kenosha County,0.137
WI,Kewaunee County,0.109
WI,Kewaunee County,0.109
WI,La Crosse County,0.107
WI,La Crosse County,0.102
WI,Lafayette County,0.154
WI,Lafayette County,0.159
WI,Langlade County,0.138
WI,Langlade County,0.151
WI,Lincoln County,0.117
WI,Lincoln County,0.116
WI,Manitowoc County,0.111
WI,Manitowoc County,0.113
WI,Marathon County,0.121
WI,Marathon County,0.13
WI,Marinette County,0.133
WI,Marinette County,0.128
WI,Marquette County,0.133
WI,Marquette County,0.141
WI,Menominee County,0.187
WI,Menominee County,0.195
WI,Milwaukee County,0.177
WI,Milwaukee County,0.166
WI,Monroe County,0.135
WI,Monroe County,0.155
WI,Oconto County,0.132
WI,Oconto County,0.129
WI,Oneida County,0.122
WI,Oneida County,0.122
WI,Outagamie County,0.107
WI,Outagamie County,0.103
WI,Ozaukee County,0.073
WI,Ozaukee County,0.07
WI,Pepin County,0.131
WI,Pepin County,0.13
WI,Pierce County,0.113
WI,Pierce County,0.1
WI,Polk County,0.129
WI,Polk County,0.133
WI,Portage County,0.114
WI,Portage County,0.115
WI,Price County,0.121
WI,Price County,0.13
WI,Racine County,0.134
WI,Racine County,0.141
WI,Richland County,0.136
WI,Richland County,0.14
WI,Rock County,0.135
WI,Rock County,0.14
WI,Rusk County,0.135
WI,Rusk County,0.147
WI,Sauk County,0.134
WI,Sauk County,0.143
WI,Sawyer County,0.17
WI,Sawyer County,0.186
WI,Shawano County,0.145
WI,Shawano County,0.164
WI,Sheboygan County,0.118
WI,Sheboygan County,0.116
WI,St. Croix County,0.092
WI,St. Croix County,0.092
WI,Taylor County,0.131
WI,Taylor County,0.151
WI,Trempealeau County,0.125
WI,Trempealeau County,0.13
WI,Vernon County,0.154
WI,Vernon County,0.164
WI,Vilas County,0.17
WI,Vilas County,0.187
WI,Walworth County,0.13
WI,Walworth County,0.149
WI,Washburn County,0.144
WI,Washburn County,0.146
WI,Washington County,0.082
WI,Washington County,0.085
WI,Waukesha County,0.073
WI,Waukesha County,0.075
WI,Waupaca County,0.116
WI,Waupaca County,0.117
WI,Waushara County,0.158
WI,Waushara County,0.154
WI,Winnebago County,0.114
WI,Winnebago County,0.121
WI,Wood County,0.1
WI,Wood County,0.109
WV,Barbour County,0.255
WV,Barbour County,0.251
WV,Berkeley County,0.219
WV,Berkeley County,0.214
WV,Boone County,0.203
WV,Boone County,0.196
WV,Braxton County,0.254
WV,Braxton County,0.253
WV,Brooke County,0.203
WV,Brooke County,0.189
WV,Cabell County,0.217
WV,Cabell County,0.229
WV,Calhoun County,0.273
WV,Calhoun County,0.257
WV,Clay County,0.245
WV,Clay County,0.241
WV,Doddridge County,0.256
WV,Doddridge County,0.257
WV,Fayette County,0.259
WV,Fayette County,0.248
WV,Gilmer County,0.266
WV,Gilmer County,0.255
WV,Grant County,0.241
WV,Grant County,0.235
WV,Greenbrier County,0.245
WV,Greenbrier County,0.244
WV,Hampshire County,0.287
WV,Hampshire County,0.278
WV,Hancock County,0.204
WV,Hancock County,0.202
WV,Hardy County,0.229
WV,Hardy County,0.238
WV,Harrison County,0.245
WV,Harrison County,0.224
WV,Jackson County,0.231
WV,Jackson County,0.221
WV,Jefferson County,0.199
WV,Jefferson County,0.186
WV,Kanawha County,0.209
WV,Kanawha County,0.2
WV,Lewis County,0.237
WV,Lewis County,0.218
WV,Lincoln County,0.247
WV,Lincoln County,0.239
WV,Logan County,0.236
WV,Logan County,0.23
WV,Marion County,0.237
WV,Marion County,0.214
WV,Marshall County,0.206
WV,Marshall County,0.208
WV,Mason County,0.193
WV,Mason County,0.203
WV,McDowell County,0.269
WV,McDowell County,0.259
WV,Mercer County,0.242
WV,Mercer County,0.235
WV,Mineral County,0.224
WV,Mineral County,0.224
WV,Mingo County,0.233
WV,Mingo County,0.225
WV,Monongalia County,0.199
WV,Monongalia County,0.221
WV,Monroe County,0.271
WV,Monroe County,0.263
WV,Morgan County,0.257
WV,Morgan County,0.251
WV,Nicholas County,0.244
WV,Nicholas County,0.228
WV,Ohio County,0.19
WV,Ohio County,0.195
WV,Pendleton County,0.264
WV,Pendleton County,0.267
WV,Pleasants County,0.201
WV,Pleasants County,0.186
WV,Pocahontas County,0.259
WV,Pocahontas County,0.277
WV,Preston County,0.25
WV,Preston County,0.24
WV,Putnam County,0.184
WV,Putnam County,0.173
WV,Raleigh County,0.214
WV,Raleigh County,0.22
WV,Randolph County,0.242
WV,Randolph County,0.225
WV,Ritchie County,0.248
WV,Ritchie County,0.255
WV,Roane County,0.262
WV,Roane County,0.261
WV,Summers County,0.25
WV,Summers County,0.245
WV,Taylor County,0.233
WV,Taylor County,0.226
WV,Tucker County,0.252
WV,Tucker County,0.247
WV,Tyler County,0.223
WV,Tyler County,0.23
WV,Upshur County,0.248
WV,Upshur County,0.237
WV,Wayne County,0.235
WV,Wayne County,0.225
WV,Webster County,0.249
WV,Webster County,0.25
WV,Wetzel County,0.216
WV,Wetzel County,0.212
WV,Wirt County,0.243
WV,Wirt County,0.235
WV,Wood County,0.222
WV,Wood County,0.217
WV,Wyoming County,0.213
WV,Wyoming County,0.222
WY,Albany County,0.224
WY,Albany County,0.195
WY,Big Horn County,0.265
WY,Big Horn County,0.244
WY,Campbell County,0.186
WY,Campbell County,0.18
WY,Carbon County,0.212
WY,Carbon County,0.206
WY,Converse County,0.178
WY,Converse County,0.167
WY,Crook County,0.214
WY,Crook County,0.209
WY,Fremont County,0.271
WY,Fremont County,0.28
WY,Goshen County,0.208
WY,Goshen County,0.208
WY,Hot Springs County,0.244
WY,Hot Springs County,0.248
WY,Johnson County,0.22
WY,Johnson County,0.215
WY,Laramie County,0.185
WY,Laramie County,0.19
WY,Lincoln County,0.225
WY,Lincoln County,0.197
WY,Natrona County,0.196
WY,Natrona County,0.195
WY,Niobrara County,0.252
WY,Niobrara County,0.212
WY,Park County,0.217
WY,Park County,0.206
WY,Platte County,0.209
WY,Platte County,0.208
WY,Sheridan County,0.211
WY,Sheridan County,0.189
WY,Sublette County,0.202
WY,Sublette County,0.188
WY,Sweetwater County,0.199
WY,Sweetwater County,0.206
WY,Teton County,0.234
WY,Teton County,0.238
WY,Uinta County,0.202
WY,Uinta County,0.192
WY,Washakie County,0.225
WY,Washakie County,0.226
WY,Weston County,0.201
WY,Weston County,0.189
