State,County,Median household income,Poor or fair health,Uninsured adults
AK,Aleutians West Census Area,69192,0.122,0.374
AK,Aleutians West Census Area,74088,0.122,0.314
AK,Anchorage Borough,71094,0.125,0.218
AK,Anchorage Borough,76362,0.125,0.227
AK,Bethel Census Area,41722,0.211,0.394
AK,Bethel Census Area,42876,0.211,0.389
AK,Dillingham Census Area,47498,0.121,0.384
AK,Dillingham Census Area,47930,0.121,0.367
AK,Fairbanks North Star Borough,63979,0.11,0.251
AK,Fairbanks North Star Borough,67204,0.11,0.247
AK,Haines Borough,49890,0.118,0.317
AK,Haines Borough,55295,0.118,0.346
AK,Juneau Borough,76967,0.115,0.236
AK,Juneau Borough,83642,0.115,0.216
AK,Kenai Peninsula Borough,60431,0.137,0.268
AK,Kenai Peninsula Borough,61629,0.137,0.278
AK,Ketchikan Gateway Borough,61296,0.144,0.304
AK,Ketchikan Gateway Borough,62619,0.144,0.284
AK,Kodiak Island Borough,61498,0.132,0.349
AK,Kodiak Island Borough,64782,0.132,0.32
AK,Lake and Peninsula Borough,44657,,0.434
AK,Lake and Peninsula Borough,43936,,0.406
AK,Matanuska-Susitna Borough,68109,0.133,0.266
AK,Matanuska-Susitna Borough,72371,0.133,0.254
AK,Nome Census Area,47022,0.164,0.373
AK,Nome Census Area,46471,0.164,0.366
AK,North Slope Borough,69138,0.2,0.28
AK,North Slope Borough,74174,0.2,0.295
AK,Northwest Arctic Borough,52945,0.188,0.384
AK,Northwest Arctic Borough,54600,0.188,0.394
AK,Prince of Wales-Outer Ketchikan Census Area,44721,0.207,0.379
AK,Prince of Wales-Outer Ketchikan Census Area,48175,0.207,0.363
AK,Sitka Borough,61771,0.11,0.293
AK,Sitka Borough,66038,0.11,0.292
AK,Skagway-Hoonah-Angoon Census Area,48137,0.1,0.334
AK,Skagway-Hoonah-Angoon Census Area,49138,0.1,0.343
AK,Southeast Fairbanks Census Area,56456,0.154,0.323
AK,Southeast Fairbanks Census Area,54922,0.154,0.345
AK,Valdez-Cordova Census Area,65098,0.172,0.281
AK,Valdez-Cordova Census Area,63541,0.172,0.283
AK,Wade Hampton Census Area,32860,0.25,0.441
AK,Wade Hampton Census Area,31274,0.25,0.433
AK,Wrangell-Petersburg Census Area,53745,0.132,0.29
AK,Wrangell-Petersburg Census Area,54624,0.132,0.285
AK,Yukon-Koyukuk Census Area,33998,0.194,0.45
AK,Yukon-Koyukuk Census Area,35114,0.194,0.448
AL,Autauga County,51441,0.228,0.18
AL,Autauga County,51868,0.228,0.169
AL,Baldwin County,48867,0.127,0.209
AL,Baldwin County,47539,0.127,0.199
AL,Barbour County,30287,0.234,0.242
AL,Barbour County,30981,0.234,0.228
AL,Bibb County,37392,0.179,0.2
AL,Bibb County,39781,0.179,0.193
AL,Blount County,44225,0.242,0.227
AL,Blount County,44392,0.242,0.233
AL,Bullock County,25854,0.23,0.208
AL,Bullock County,25937,0.23,0.232
AL,Butler County,30605,0.199,0.21
AL,Butler County,31041,0.199,0.216
AL,Calhoun County,39212,0.227,0.213
AL,Calhoun County,37898,0.227,0.197
AL,Chambers County,32320,0.385,0.228
AL,Chambers County,33883,0.385,0.205
AL,Cherokee County,37868,0.242,0.214
AL,Cherokee County,37478,0.242,0.209
AL,Chilton County,39621,0.205,0.254
AL,Chilton County,41348,0.205,0.245
AL,Choctaw County,33390,0.316,0.219
AL,Choctaw County,33581,0.316,0.204
AL,Clarke County,34606,0.218,0.236
AL,Clarke County,34593,0.218,0.221
AL,Clay County,34579,0.286,0.238
AL,Clay County,33344,0.286,0.238
AL,Cleburne County,38235,0.2,0.211
AL,Cleburne County,40407,0.2,0.204
AL,Coffee County,45631,0.184,0.219
AL,Coffee County,44666,0.184,0.205
AL,Colbert County,39771,0.259,0.188
AL,Colbert County,40032,0.259,0.181
AL,Conecuh County,27110,0.183,0.24
AL,Conecuh County,27196,0.183,0.233
AL,Coosa County,32960,0.258,0.195
AL,Coosa County,35175,0.258,0.202
AL,Covington County,34017,0.25,0.225
AL,Covington County,35187,0.25,0.223
AL,Crenshaw County,33648,0.203,0.236
AL,Crenshaw County,34105,0.203,0.21
AL,Cullman County,37938,0.214,0.225
AL,Cullman County,40142,0.214,0.23
AL,Dale County,40125,0.212,0.199
AL,Dale County,41805,0.212,0.192
AL,Dallas County,27400,0.252,0.21
AL,Dallas County,27524,0.252,0.194
AL,DeKalb County,37644,0.204,0.29
AL,DeKalb County,36713,0.204,0.282
AL,Elmore County,52324,0.167,0.176
AL,Elmore County,51650,0.167,0.168
AL,Escambia County,33588,0.281,0.249
AL,Escambia County,33455,0.281,0.256
AL,Etowah County,35737,0.227,0.215
AL,Etowah County,38587,0.227,0.214
AL,Fayette County,35720,0.318,0.2
AL,Fayette County,35661,0.318,0.197
AL,Franklin County,33173,0.24,0.268
AL,Franklin County,33332,0.24,0.26
AL,Geneva County,33347,0.283,0.231
AL,Geneva County,35378,0.283,0.243
AL,Greene County,24592,0.271,0.225
AL,Greene County,25864,0.271,0.206
AL,Hale County,31025,0.211,0.245
AL,Hale County,33597,0.211,0.209
AL,Henry County,37108,0.184,0.218
AL,Henry County,41590,0.184,0.212
AL,Houston County,40609,0.207,0.208
AL,Houston County,39636,0.207,0.215
AL,Jackson County,39618,0.28,0.231
AL,Jackson County,37204,0.28,0.218
AL,Jefferson County,43967,0.178,0.189
AL,Jefferson County,45024,0.178,0.186
AL,Lamar County,33940,0.285,0.209
AL,Lamar County,36475,0.285,0.213
AL,Lauderdale County,41536,0.192,0.19
AL,Lauderdale County,43586,0.192,0.207
AL,Lawrence County,38524,0.235,0.219
AL,Lawrence County,40713,0.235,0.231
AL,Lee County,43182,0.175,0.207
AL,Lee County,44647,0.175,0.191
AL,Limestone County,49616,0.207,0.206
AL,Limestone County,50148,0.207,0.207
AL,Lowndes County,28544,0.358,0.222
AL,Lowndes County,29734,0.358,0.2
AL,Macon County,27709,0.247,0.195
AL,Macon County,29228,0.247,0.191
AL,Madison County,57072,0.141,0.189
AL,Madison County,58258,0.141,0.174
AL,Marengo County,31888,0.264,0.224
AL,Marengo County,33749,0.264,0.196
AL,Marion County,32237,0.237,0.219
AL,Marion County,34162,0.237,0.202
AL,Marshall County,36960,0.212,0.274
AL,Marshall County,38399,0.212,0.242
AL,Mobile County,39546,0.226,0.239
AL,Mobile County,42278,0.226,0.23
AL,Monroe County,36221,0.257,0.236
AL,Monroe County,32696,0.257,0.215
AL,Montgomery County,41430,0.21,0.213
AL,Montgomery County,44013,0.21,0.2
AL,Morgan County,44766,0.149,0.231
AL,Morgan County,44079,0.149,0.218
AL,Perry County,25215,0.272,0.25
AL,Perry County,25461,0.272,0.215
AL,Pickens County,31433,0.26,0.22
AL,Pickens County,32314,0.26,0.209
AL,Pike County,32411,0.238,0.25
AL,Pike County,35944,0.238,0.225
AL,Randolph County,35024,0.223,0.24
AL,Randolph County,35121,0.223,0.235
AL,Russell County,34310,0.213,0.229
AL,Russell County,35762,0.213,0.22
AL,Shelby County,67244,0.123,0.149
AL,Shelby County,68718,0.123,0.143
AL,St. Clair County,50989,0.193,0.2
AL,St. Clair County,52437,0.193,0.197
AL,Sumter County,24059,0.277,0.222
AL,Sumter County,24504,0.277,0.217
AL,Talladega County,34785,0.299,0.201
AL,Talladega County,38505,0.299,0.19
AL,Tallapoosa County,36463,0.265,0.198
AL,Tallapoosa County,37747,0.265,0.204
AL,Tuscaloosa County,41495,0.176,0.183
AL,Tuscaloosa County,45959,0.176,0.191
AL,Walker County,36600,0.35,0.211
AL,Walker County,37193,0.35,0.202
AL,Washington County,39173,0.211,0.226
AL,Washington County,41115,0.211,0.223
AL,Wilcox County,22126,0.305,0.28
AL,Wilcox County,23184,0.305,0.234
AL,Winston County,32663,0.211,0.227
AL,Winston County,33578,0.211,0.224
AR,Arkansas County,37907,0.287,0.25
AR,Arkansas County,38497,0.287,0.246
AR,Ashley County,39276,0.252,0.249
AR,Ashley County,36479,0.252,0.239
AR,Baxter County,35315,0.175,0.25
AR,Baxter County,36082,0.175,0.249
AR,Benton County,52717,0.125,0.245
AR,Benton County,56518,0.125,0.245
AR,Boone County,35848,0.168,0.252
AR,Boone County,38410,0.168,0.245
AR,Bradley County,31940,0.186,0.329
AR,Bradley County,31733,0.186,0.303
AR,Calhoun County,36216,0.217,0.256
AR,Calhoun County,37497,0.217,0.244
AR,Carroll County,34096,0.178,0.328
AR,Carroll County,34109,0.178,0.334
AR,Chicot County,26911,0.249,0.283
AR,Chicot County,28006,0.249,0.281
AR,Clark County,34482,0.219,0.265
AR,Clark County,36517,0.219,0.232
AR,Clay County,32642,0.284,0.273
AR,Clay County,33488,0.284,0.257
AR,Cleburne County,41337,0.241,0.269
AR,Cleburne County,41612,0.241,0.254
AR,Cleveland County,41338,0.215,0.24
AR,Cleveland County,42414,0.215,0.237
AR,Columbia County,35024,0.24,0.236
AR,Columbia County,36927,0.24,0.241
AR,Conway County,35832,0.227,0.246
AR,Conway County,38145,0.227,0.238
AR,Craighead County,42437,0.176,0.251
AR,Craighead County,41608,0.176,0.254
AR,Crawford County,39367,0.2,0.266
AR,Crawford County,39384,0.2,0.275
AR,Crittenden County,36588,0.208,0.249
AR,Crittenden County,37726,0.208,0.237
AR,Cross County,35839,0.21,0.266
AR,Cross County,35438,0.21,0.242
AR,Dallas County,30984,0.233,0.259
AR,Dallas County,32591,0.233,0.248
AR,Desha County,30298,0.209,0.267
AR,Desha County,30241,0.209,0.259
AR,Drew County,33682,0.193,0.253
AR,Drew County,35249,0.193,0.247
AR,Faulkner County,49843,0.173,0.217
AR,Faulkner County,49936,0.173,0.21
AR,Franklin County,39763,0.257,0.254
AR,Franklin County,38874,0.257,0.256
AR,Fulton County,31988,0.235,0.283
AR,Fulton County,33439,0.235,0.273
AR,Garland County,39617,0.187,0.289
AR,Garland County,39057,0.187,0.267
AR,Grant County,47421,0.242,0.211
AR,Grant County,47089,0.242,0.21
AR,Greene County,38771,0.143,0.239
AR,Greene County,40840,0.143,0.235
AR,Hempstead County,32292,0.3,0.307
AR,Hempstead County,33715,0.3,0.303
AR,Hot Spring County,41754,0.28,0.247
AR,Hot Spring County,39927,0.28,0.223
AR,Howard County,33049,0.189,0.317
AR,Howard County,32740,0.189,0.305
AR,Independence County,37818,0.219,0.265
AR,Independence County,37761,0.219,0.265
AR,Izard County,29663,0.285,0.275
AR,Izard County,33308,0.285,0.287
AR,Jackson County,30604,0.292,0.265
AR,Jackson County,32923,0.292,0.254
AR,Jefferson County,36346,0.177,0.22
AR,Jefferson County,36169,0.177,0.213
AR,Johnson County,34322,0.253,0.294
AR,Johnson County,33634,0.253,0.303
AR,Lafayette County,28857,0.122,0.274
AR,Lafayette County,30642,0.122,0.272
AR,Lawrence County,29229,0.249,0.269
AR,Lawrence County,34740,0.249,0.269
AR,Lee County,26046,0.304,0.259
AR,Lee County,27068,0.304,0.26
AR,Lincoln County,36222,0.275,0.26
AR,Lincoln County,36062,0.275,0.259
AR,Little River County,35406,0.171,0.233
AR,Little River County,36310,0.171,0.236
AR,Logan County,33850,0.202,0.26
AR,Logan County,34090,0.202,0.254
AR,Lonoke County,51212,0.169,0.217
AR,Lonoke County,55648,0.169,0.205
AR,Madison County,33428,0.216,0.299
AR,Madison County,36358,0.216,0.303
AR,Marion County,31516,0.142,0.267
AR,Marion County,34217,0.142,0.266
AR,Miller County,38225,0.248,0.241
AR,Miller County,40005,0.248,0.241
AR,Mississippi County,34058,0.257,0.258
AR,Mississippi County,34285,0.257,0.252
AR,Monroe County,29032,0.275,0.256
AR,Monroe County,29870,0.275,0.272
AR,Montgomery County,32779,0.2,0.297
AR,Montgomery County,31763,0.2,0.286
AR,Nevada County,32107,0.36,0.248
AR,Nevada County,33341,0.36,0.238
AR,Newton County,29316,0.188,0.292
AR,Newton County,31824,0.188,0.298
AR,Ouachita County,32749,0.231,0.227
AR,Ouachita County,35006,0.231,0.206
AR,Perry County,40119,0.315,0.235
AR,Perry County,42328,0.315,0.252
AR,Phillips County,26013,0.228,0.249
AR,Phillips County,25894,0.228,0.242
AR,Pike County,33144,0.22,0.311
AR,Pike County,35592,0.22,0.319
AR,Poinsett County,32248,0.25,0.264
AR,Poinsett County,34113,0.25,0.264
AR,Polk County,31749,0.235,0.315
AR,Polk County,31818,0.235,0.306
AR,Pope County,40206,0.182,0.27
AR,Pope County,39704,0.182,0.265
AR,Prairie County,36191,0.169,0.27
AR,Prairie County,38921,0.169,0.268
AR,Pulaski County,44819,0.152,0.231
AR,Pulaski County,46526,0.152,0.213
AR,Randolph County,33870,0.247,0.263
AR,Randolph County,33148,0.247,0.271
AR,Saline County,57787,0.174,0.205
AR,Saline County,54921,0.174,0.192
AR,Scott County,30630,0.183,0.318
AR,Scott County,32404,0.183,0.305
AR,Searcy County,26330,0.205,0.304
AR,Searcy County,27299,0.205,0.318
AR,Sebastian County,38730,0.187,0.296
AR,Sebastian County,41685,0.187,0.278
AR,Sevier County,32662,0.266,0.413
AR,Sevier County,33698,0.266,0.394
AR,Sharp County,30076,0.343,0.284
AR,Sharp County,31224,0.343,0.301
AR,St. Francis County,32932,0.183,0.258
AR,St. Francis County,29011,0.183,0.248
AR,Stone County,28442,0.254,0.299
AR,Stone County,27522,0.254,0.292
AR,Union County,40026,0.23,0.236
AR,Union County,38132,0.23,0.234
AR,Van Buren County,35876,0.231,0.271
AR,Van Buren County,35111,0.231,0.27
AR,Washington County,41856,0.171,0.298
AR,Washington County,43302,0.171,0.262
AR,White County,40950,0.171,0.258
AR,White County,43363,0.171,0.256
AR,Woodruff County,29184,0.274,0.262
AR,Woodruff County,29159,0.274,0.269
AR,Yell County,38322,0.225,0.348
AR,Yell County,34679,0.225,0.342
AZ,Apache County,32886,0.203,0.26
AZ,Apache County,30252,0.203,0.297
AZ,Cochise County,43017,0.187,0.209
AZ,Cochise County,45294,0.187,0.208
AZ,Coconino County,45509,0.128,0.254
AZ,Coconino County,48732,0.128,0.266
AZ,Gila County,38267,0.214,0.22
AZ,Gila County,39868,0.214,0.228
AZ,Graham County,41080,0.19,0.2
AZ,Graham County,43497,0.19,0.236
AZ,Greenlee County,53312,0.176,0.157
AZ,Greenlee County,54673,0.176,0.16
AZ,La Paz County,35236,0.22,0.293
AZ,La Paz County,33994,0.22,0.3
AZ,Maricopa County,51442,0.147,0.227
AZ,Maricopa County,52066,0.147,0.233
AZ,Mohave County,34966,0.203,0.226
AZ,Mohave County,38560,0.203,0.255
AZ,Navajo County,34662,0.175,0.25
AZ,Navajo County,37182,0.175,0.261
AZ,Pima County,44745,0.144,0.202
AZ,Pima County,43926,0.144,0.21
AZ,Pinal County,50362,0.17,0.232
AZ,Pinal County,49887,0.17,0.223
AZ,Santa Cruz County,36660,0.178,0.307
AZ,Santa Cruz County,35753,0.178,0.308
AZ,Yavapai County,43397,0.177,0.209
AZ,Yavapai County,40486,0.177,0.24
AZ,Yuma County,39072,0.226,0.281
AZ,Yuma County,40498,0.226,0.319
CA,Alameda County,70209,0.145,0.181
CA,Alameda County,72128,0.145,0.178
CA,Amador County,51388,0.175,0.175
CA,Amador County,52357,0.175,0.177
CA,Butte County,40748,0.173,0.233
CA,Butte County,42395,0.173,0.232
CA,Calaveras County,50962,0.214,0.18
CA,Calaveras County,52598,0.214,0.191
CA,Colusa County,49871,,0.309
CA,Colusa County,48897,,0.292
CA,Contra Costa County,74208,0.138,0.167
CA,Contra Costa County,78909,0.138,0.165
CA,Del Norte County,37305,0.159,0.21
CA,Del Norte County,38663,0.159,0.216
CA,El Dorado County,68446,0.097,0.159
CA,El Dorado County,63002,0.097,0.161
CA,Fresno County,41563,0.234,0.298
CA,Fresno County,43741,0.234,0.297
CA,Glenn County,41201,0.283,0.295
CA,Glenn County,42129,0.283,0.288
CA,Humboldt County,39837,0.12,0.24
CA,Humboldt County,40882,0.12,0.245
CA,Imperial County,38185,0.29,0.295
CA,Imperial County,40106,0.29,0.293
CA,Inyo County,45748,,0.237
CA,Inyo County,45784,,0.237
CA,Kern County,45599,0.237,0.285
CA,Kern County,46688,0.237,0.273
CA,Kings County,45464,0.269,0.273
CA,Kings County,45794,0.269,0.257
CA,Lake County,35437,0.204,0.24
CA,Lake County,36973,0.204,0.245
CA,Lassen County,47480,0.182,0.178
CA,Lassen County,50487,0.182,0.163
CA,Los Angeles County,52929,0.224,0.307
CA,Los Angeles County,54443,0.224,0.302
CA,Madera County,42054,0.311,0.313
CA,Madera County,41223,0.311,0.32
CA,Marin County,88654,0.097,0.143
CA,Marin County,94347,0.097,0.148
CA,Mariposa County,43166,0.165,0.188
CA,Mariposa County,45251,0.165,0.215
CA,Mendocino County,41088,0.16,0.281
CA,Mendocino County,42001,0.16,0.264
CA,Merced County,42552,0.23,0.296
CA,Merced County,41003,0.23,0.281
CA,Modoc County,36724,,0.25
CA,Modoc County,37055,,0.262
CA,Mono County,53067,,0.269
CA,Mono County,55107,,0.265
CA,Monterey County,56038,0.24,0.304
CA,Monterey County,55411,0.24,0.304
CA,Napa County,65698,0.167,0.221
CA,Napa County,68619,0.167,0.222
CA,Nevada County,54230,0.092,0.203
CA,Nevada County,55246,0.092,0.195
CA,Orange County,71866,0.145,0.236
CA,Orange County,73827,0.145,0.239
CA,Placer County,69521,0.087,0.15
CA,Placer County,73643,0.087,0.154
CA,Plumas County,46450,,0.207
CA,Plumas County,47645,,0.218
CA,Riverside County,52416,0.195,0.279
CA,Riverside County,53909,0.195,0.284
CA,Sacramento County,52617,0.139,0.204
CA,Sacramento County,52980,0.139,0.219
CA,San Benito County,60577,0.181,0.24
CA,San Benito County,66780,0.181,0.234
CA,San Bernardino County,50603,0.194,0.274
CA,San Bernardino County,52112,0.194,0.276
CA,San Diego County,60235,0.16,0.23
CA,San Diego County,61365,0.16,0.22
CA,San Francisco County,72093,0.164,0.155
CA,San Francisco County,76933,0.164,0.15
CA,San Joaquin County,50431,0.22,0.251
CA,San Joaquin County,51219,0.22,0.252
CA,San Luis Obispo County,58427,0.116,0.213
CA,San Luis Obispo County,57743,0.116,0.198
CA,San Mateo County,81568,0.12,0.159
CA,San Mateo County,91061,0.12,0.157
CA,Santa Barbara County,60683,0.21,0.27
CA,Santa Barbara County,60803,0.21,0.254
CA,Santa Clara County,91195,0.135,0.166
CA,Santa Clara County,91843,0.135,0.165
CA,Santa Cruz County,65799,0.168,0.217
CA,Santa Cruz County,65282,0.168,0.22
CA,Shasta County,44477,0.158,0.22
CA,Shasta County,41236,0.158,0.228
CA,Sierra County,45157,,0.22
CA,Sierra County,46449,,0.23
CA,Siskiyou County,36597,0.195,0.237
CA,Siskiyou County,37108,0.195,0.222
CA,Solano County,61976,0.174,0.177
CA,Solano County,63398,0.174,0.187
CA,Sonoma County,59855,0.144,0.216
CA,Sonoma County,61020,0.144,0.214
CA,Stanislaus County,46324,0.223,0.261
CA,Stanislaus County,47808,0.223,0.257
CA,Sutter County,46524,0.19,0.27
CA,Sutter County,47903,0.19,0.253
CA,Tehama County,38577,0.243,0.259
CA,Tehama County,43459,0.243,0.25
CA,Trinity County,35162,0.167,0.226
CA,Trinity County,35708,0.167,0.227
CA,Tulare County,40197,0.248,0.318
CA,Tulare County,39657,0.248,0.303
CA,Tuolumne County,46624,0.132,0.185
CA,Tuolumne County,50774,0.132,0.202
CA,Ventura County,71043,0.163,0.227
CA,Ventura County,76513,0.163,0.229
CA,Yolo County,51040,0.167,0.196
CA,Yolo County,55011,0.167,0.196
CA,Yuba County,41599,0.223,0.239
CA,Yuba County,41824,0.223,0.241
CO,Adams County,55695,0.166,0.259
CO,Adams County,54876,0.166,0.265
CO,Alamosa County,37731,0.153,0.238
CO,Alamosa County,37484,0.153,0.22
CO,Arapahoe County,60525,0.12,0.203
CO,Arapahoe County,61092,0.12,0.207
CO,Archuleta County,46127,0.144,0.227
CO,Archuleta County,44417,0.144,0.236
CO,Baca County,37775,0.132,0.25
CO,Baca County,35787,0.132,0.243
CO,Bent County,33540,0.154,0.208
CO,Bent County,34440,0.154,0.206
CO,Boulder County,66894,0.091,0.168
CO,Boulder County,71405,0.091,0.154
CO,Broomfield County,81040,0.092,0.132
CO,Broomfield County,79117,0.092,0.122
CO,Chaffee County,44651,0.094,0.216
CO,Chaffee County,48012,0.094,0.208
CO,Cheyenne County,51093,0.111,0.24
CO,Cheyenne County,50379,0.111,0.263
CO,Clear Creek County,65359,0.073,0.141
CO,Clear Creek County,63489,0.073,0.135
CO,Conejos County,31970,0.265,0.263
CO,Conejos County,34923,0.265,0.244
CO,Costilla County,26075,0.221,0.328
CO,Costilla County,28233,0.221,0.322
CO,Crowley County,30460,,0.212
CO,Crowley County,31477,,0.213
CO,Custer County,46744,0.081,0.238
CO,Custer County,47268,0.081,0.224
CO,Delta County,41208,0.164,0.247
CO,Delta County,41730,0.164,0.254
CO,Denver County,50455,0.164,0.226
CO,Denver County,51156,0.164,0.223
CO,Dolores County,39254,0.089,0.279
CO,Dolores County,42416,0.089,0.264
CO,Douglas County,98426,0.067,0.093
CO,Douglas County,105192,0.067,0.091
CO,Eagle County,69870,0.154,0.257
CO,Eagle County,78517,0.154,0.251
CO,El Paso County,55312,0.12,0.186
CO,El Paso County,57072,0.12,0.181
CO,Elbert County,81528,0.071,0.146
CO,Elbert County,80972,0.071,0.14
CO,Fremont County,40809,0.127,0.205
CO,Fremont County,41412,0.127,0.191
CO,Garfield County,54088,0.165,0.281
CO,Garfield County,57364,0.165,0.275
CO,Gilpin County,61447,,0.107
CO,Gilpin County,64962,,0.115
CO,Grand County,56191,,0.213
CO,Grand County,57312,,0.2
CO,Gunnison County,49861,0.07,0.262
CO,Gunnison County,48391,0.07,0.235
CO,Huerfano County,31574,0.297,0.23
CO,Huerfano County,32418,0.297,0.243
CO,Jefferson County,67401,0.1,0.16
CO,Jefferson County,68161,0.1,0.152
CO,Kiowa County,42378,,0.198
CO,Kit Carson County,44059,0.215,0.279
CO,Kit Carson County,39633,0.215,0.251
CO,La Plata County,55888,0.085,0.229
CO,La Plata County,58675,0.085,0.223
CO,Lake County,45504,0.191,0.313
CO,Lake County,47547,0.191,0.298
CO,Larimer County,56132,0.103,0.174
CO,Larimer County,59337,0.103,0.172
CO,Las Animas County,38713,0.201,0.225
CO,Las Animas County,38547,0.201,0.205
CO,Lincoln County,38098,,0.218
CO,Lincoln County,41510,,0.198
CO,Logan County,42740,0.149,0.22
CO,Logan County,43561,0.149,0.215
CO,Mesa County,46940,0.141,0.212
CO,Mesa County,48108,0.141,0.203
CO,Moffat County,57023,0.161,0.215
CO,Moffat County,58890,0.161,0.207
CO,Montezuma County,40351,0.148,0.254
CO,Montezuma County,43655,0.148,0.259
CO,Montrose County,45226,0.137,0.269
CO,Montrose County,43946,0.137,0.251
CO,Morgan County,44577,0.236,0.281
CO,Morgan County,46332,0.236,0.266
CO,Otero County,35026,0.2,0.235
CO,Otero County,36811,0.2,0.234
CO,Ouray County,61657,,0.216
CO,Ouray County,58137,,0.214
CO,Park County,60731,0.128,0.189
CO,Park County,57510,0.128,0.196
CO,Phillips County,46216,,0.258
CO,Phillips County,46805,,0.244
CO,Pitkin County,67057,,0.192
CO,Pitkin County,71012,,0.193
CO,Prowers County,36580,0.22,0.275
CO,Prowers County,38830,0.22,0.258
CO,Pueblo County,41209,0.173,0.186
CO,Pueblo County,41352,0.173,0.194
CO,Rio Blanco County,57922,0.162,0.203
CO,Rio Blanco County,59364,0.162,0.188
CO,Rio Grande County,37837,0.235,0.258
CO,Rio Grande County,39834,0.235,0.25
CO,Routt County,62271,0.058,0.176
CO,Routt County,63763,0.058,0.173
CO,Saguache County,30197,0.21,0.35
CO,Saguache County,35310,0.21,0.348
CO,San Miguel County,53477,,0.223
CO,San Miguel County,53674,,0.237
CO,Sedgwick County,37633,0.13,0.241
CO,Sedgwick County,39980,0.13,0.241
CO,Summit County,61286,,0.23
CO,Summit County,63236,,0.215
CO,Teller County,59558,0.08,0.157
CO,Teller County,62725,0.08,0.16
CO,Washington County,43446,0.121,0.249
CO,Washington County,45572,0.121,0.232
CO,Weld County,55332,0.154,0.216
CO,Weld County,58404,0.154,0.222
CO,Yuma County,45059,0.128,0.267
CO,Yuma County,45487,0.128,0.274
CT,Fairfield County,79536,0.1,0.151
CT,Fairfield County,81816,0.1,0.151
CT,Hartford County,63374,0.109,0.125
CT,Hartford County,63491,0.109,0.122
CT,Litchfield County,67746,0.092,0.104
CT,Litchfield County,70519,0.092,0.11
CT,Middlesex County,74588,0.094,0.095
CT,Middlesex County,75335,0.094,0.099
CT,New Haven County,59217,0.124,0.124
CT,New Haven County,58672,0.124,0.137
CT,New London County,65573,0.107,0.112
CT,New London County,62638,0.107,0.116
CT,Tolland County,75048,0.093,0.09
CT,Tolland County,73660,0.093,0.083
CT,Windham County,54221,0.122,0.126
CT,Windham County,55948,0.122,0.127
DC,District of Columbia,66326,0.122,0.083
DE,Kent County,51695,0.147,0.131
DE,Kent County,53811,0.147,0.125
DE,New Castle County,62086,0.11,0.127
DE,New Castle County,63033,0.11,0.122
DE,Sussex County,48684,0.146,0.169
DE,Sussex County,50207,0.146,0.154
FL,Alachua County,41297,0.146,0.233
FL,Alachua County,39614,0.146,0.233
FL,Baker County,45721,0.289,0.223
FL,Baker County,46505,0.289,0.213
FL,Bay County,45259,0.171,0.246
FL,Bay County,45249,0.171,0.23
FL,Bradford County,38680,0.147,0.238
FL,Bradford County,40668,0.147,0.232
FL,Brevard County,46332,0.14,0.239
FL,Brevard County,46677,0.14,0.232
FL,Broward County,49564,0.137,0.308
FL,Broward County,50343,0.137,0.305
FL,Calhoun County,33418,0.358,0.279
FL,Calhoun County,33977,0.358,0.261
FL,Charlotte County,44454,0.202,0.255
FL,Charlotte County,43611,0.202,0.25
FL,Citrus County,38937,0.173,0.261
FL,Citrus County,39285,0.173,0.247
FL,Clay County,56359,0.125,0.203
FL,Clay County,57991,0.125,0.208
FL,Collier County,54475,0.168,0.333
FL,Collier County,55584,0.168,0.334
FL,Columbia County,37091,0.22,0.262
FL,Columbia County,41722,0.22,0.249
FL,DeSoto County,33602,0.162,0.4
FL,DeSoto County,33198,0.162,0.391
FL,Dixie County,31913,0.306,0.257
FL,Dixie County,31649,0.306,0.242
FL,Duval County,43835,0.169,0.232
FL,Duval County,47876,0.169,0.233
FL,Escambia County,44539,0.198,0.253
FL,Escambia County,42742,0.198,0.239
FL,Flagler County,44460,0.156,0.262
FL,Flagler County,47872,0.156,0.254
FL,Franklin County,37868,0.223,0.271
FL,Franklin County,33471,0.223,0.25
FL,Gadsden County,35854,0.205,0.289
FL,Gadsden County,34348,0.205,0.288
FL,Gilchrist County,38016,0.174,0.284
FL,Gilchrist County,39854,0.174,0.255
FL,Glades County,37004,0.187,0.376
FL,Glades County,39003,0.187,0.364
FL,Gulf County,34940,0.182,0.249
FL,Gulf County,38880,0.182,0.256
FL,Hamilton County,32232,0.263,0.252
FL,Hamilton County,33836,0.263,0.249
FL,Hardee County,34012,0.194,0.409
FL,Hardee County,34884,0.194,0.379
FL,Hendry County,36515,0.228,0.435
FL,Hendry County,37085,0.228,0.42
FL,Hernando County,37093,0.216,0.26
FL,Hernando County,39280,0.216,0.252
FL,Highlands County,34722,0.218,0.332
FL,Highlands County,34054,0.218,0.31
FL,Hillsborough County,46534,0.166,0.278
FL,Hillsborough County,49510,0.166,0.262
FL,Holmes County,36272,0.24,0.275
FL,Holmes County,33220,0.24,0.249
FL,Indian River County,42638,0.187,0.288
FL,Indian River County,44326,0.187,0.291
FL,Jackson County,34978,0.196,0.232
FL,Jackson County,36332,0.196,0.225
FL,Jefferson County,38244,0.22,0.255
FL,Jefferson County,39494,0.22,0.232
FL,Lafayette County,34054,0.231,0.318
FL,Lafayette County,37120,0.231,0.326
FL,Lake County,41579,0.153,0.254
FL,Lake County,44244,0.153,0.247
