State,County,Median household income
NY,Cattaraugus County,40936
NY,Cayuga County,49412
NY,Cayuga County,48976
NY,Chautauqua County,41194
NY,Chautauqua County,40468
NY,Chemung County,45193
NY,Chemung County,45337
NY,Chenango County,42747
NY,Chenango County,44328
NY,Clinton County,49198
NY,Clinton County,45900
NY,Columbia County,52891
NY,Columbia County,57094
NY,Cortland County,45781
NY,Cortland County,46163
NY,Delaware County,41195
NY,Delaware County,43380
NY,Dutchess County,66677
NY,Dutchess County,69300
NY,Erie County,50370
NY,Erie County,51123
NY,Essex County,45676
NY,Essex County,46337
NY,Franklin County,44697
NY,Franklin County,42672
NY,Fulton County,43918
NY,Fulton County,42264
NY,Genesee County,50476
NY,Genesee County,42641
NY,Greene County,45773
NY,Greene County,50190
NY,Hamilton County,44957
NY,Hamilton County,45737
NY,Herkimer County,45137
NY,Herkimer County,42460
NY,Jefferson County,46008
NY,Jefferson County,46510
NY,Kings County,44850
NY,Kings County,47067
NY,Lewis County,46952
NY,Lewis County,45926
NY,Livingston County,52549
NY,Livingston County,51901
NY,Madison County,48220
NY,Madison County,51057
NY,Monroe County,50811
NY,Monroe County,51722
NY,Montgomery County,41034
NY,Montgomery County,43880
NY,Nassau County,92543
NY,Nassau County,95395
NY,New York County,66739
NY,New York County,71443
NY,Niagara County,47548
NY,Niagara County,46752
NY,Oneida County,45973
NY,Oneida County,44031
NY,Onondaga County,52362
NY,Onondaga County,52055
NY,Ontario County,52774
NY,Ontario County,57846
NY,Orange County,65761
NY,Orange County,68249
NY,Orleans County,45329
NY,Orleans County,43876
NY,Oswego County,46487
NY,Oswego County,46281
NY,Otsego County,47318
NY,Otsego County,47689
NY,Putnam County,92950
NY,Putnam County,92014
NY,Queens County,54373
NY,Queens County,56307
NY,Rensselaer County,59237
NY,Rensselaer County,56643
NY,Richmond County,70295
NY,Richmond County,68621
NY,Rockland County,81517
NY,Rockland County,80132
NY,Saratoga County,66677
NY,Saratoga County,69917
NY,Schenectady County,54654
NY,Schenectady County,53978
NY,Schoharie County,47581
NY,Schoharie County,49307
NY,Schuyler County,46983
NY,Schuyler County,44080
NY,Seneca County,47297
NY,Seneca County,45265
NY,St. Lawrence County,41640
NY,St. Lawrence County,43556
NY,Steuben County,46110
NY,Steuben County,46540
NY,Suffolk County,85717
NY,Suffolk County,84940
NY,Sullivan County,46102
NY,Sullivan County,46928
NY,Tioga County,56891
NY,Tioga County,51026
NY,Tompkins County,49159
NY,Tompkins County,49457
NY,Ulster County,56832
NY,Ulster County,56933
NY,Warren County,52692
NY,Warren County,52552
NY,Washington County,49964
NY,Washington County,48522
NY,Wayne County,48991
NY,Wayne County,50603
NY,Westchester County,77166
NY,Westchester County,83094
NY,Wyoming County,48470
NY,Wyoming County,51676
NY,Yates County,43789
NY,Yates County,45509
OH,Adams County,34955
OH,Adams County,37259
OH,Allen County,42173
OH,Allen County,43274
OH,Ashland County,44748
OH,Ashland County,48196
OH,Ashtabula County,37811
OH,Ashtabula County,40899
OH,Athens County,33950
OH,Athens County,35783
OH,Auglaize County,51769
OH,Auglaize County,54010
OH,Belmont County,42176
OH,Belmont County,39264
OH,Brown County,44209
OH,Brown County,43050
OH,Butler County,55599
OH,Butler County,55992
OH,Carroll County,42540
OH,Carroll County,44622
OH,Champaign County,48826
OH,Champaign County,48516
OH,Clark County,40783
OH,Clark County,44029
OH,Clermont County,54179
OH,Clermont County,61398
OH,Clinton County,42640
OH,Clinton County,46541
OH,Columbiana County,42782
OH,Columbiana County,41996
OH,Coshocton County,42035
OH,Coshocton County,39496
OH,Crawford County,40493
OH,Crawford County,38421
OH,Cuyahoga County,41954
OH,Cuyahoga County,43653
OH,Darke County,44554
OH,Darke County,43465
OH,Defiance County,46382
OH,Defiance County,48971
OH,Delaware County,87470
OH,Delaware County,89016
OH,Erie County,46307
OH,Erie County,46495
OH,Fairfield County,58884
OH,Fairfield County,56697
OH,Fayette County,42100
OH,Fayette County,40031
OH,Franklin County,50053
OH,Franklin County,51456
OH,Fulton County,50658
OH,Fulton County,51454
OH,Gallia County,38397
OH,Gallia County,39447
OH,Geauga County,69214
OH,Geauga County,69078
OH,Greene County,54038
OH,Greene County,60093
OH,Guernsey County,38353
OH,Guernsey County,39760
OH,Hamilton County,46952
OH,Hamilton County,47123
OH,Hancock County,49866
OH,Hancock County,48729
OH,Hardin County,42023
OH,Hardin County,42474
OH,Harrison County,39801
OH,Harrison County,40343
OH,Henry County,51036
OH,Henry County,51105
OH,Highland County,38847
OH,Highland County,40419
OH,Hocking County,38927
OH,Hocking County,42376
OH,Holmes County,43624
OH,Holmes County,49118
OH,Huron County,46303
OH,Huron County,44825
OH,Jackson County,37020
OH,Jackson County,37823
OH,Jefferson County,40114
OH,Jefferson County,38074
OH,Knox County,44133
OH,Knox County,47053
OH,Lake County,55149
OH,Lake County,55477
OH,Lawrence County,38790
OH,Lawrence County,41137
OH,Licking County,52678
OH,Licking County,54909
OH,Logan County,45397
OH,Logan County,50077
OH,Lorain County,49758
OH,Lorain County,52762
OH,Lucas County,40759
OH,Lucas County,40751
OH,Madison County,53445
OH,Madison County,54039
OH,Mahoning County,39982
OH,Mahoning County,41076
OH,Marion County,43315
OH,Marion County,42862
OH,Medina County,65670
OH,Medina County,66720
OH,Meigs County,34978
OH,Meigs County,40023
OH,Mercer County,52060
OH,Mercer County,55110
OH,Miami County,52622
OH,Miami County,51892
OH,Monroe County,42902
OH,Monroe County,41000
OH,Montgomery County,42859
OH,Montgomery County,43103
OH,Morgan County,35748
OH,Morgan County,36057
OH,Morrow County,50904
OH,Morrow County,49980
OH,Muskingum County,39814
OH,Muskingum County,40399
OH,Noble County,40405
OH,Noble County,42425
OH,Ottawa County,51216
OH,Ottawa County,51787
OH,Paulding County,44453
OH,Paulding County,46921
OH,Perry County,40590
OH,Perry County,41586
OH,Pickaway County,54540
OH,Pickaway County,52666
OH,Pike County,36819
OH,Pike County,41092
OH,Portage County,52249
OH,Portage County,52576
OH,Preble County,46298
OH,Preble County,47251
OH,Putnam County,57079
OH,Putnam County,60562
OH,Richland County,41772
OH,Richland County,40210
OH,Ross County,43285
OH,Ross County,42730
OH,Sandusky County,46274
OH,Sandusky County,46800
OH,Scioto County,36379
OH,Scioto County,36682
OH,Seneca County,43899
OH,Seneca County,47121
OH,Shelby County,53390
OH,Shelby County,51529
OH,Stark County,45626
OH,Stark County,45199
OH,Summit County,48836
OH,Summit County,49353
OH,Trumbull County,41253
OH,Trumbull County,41951
OH,Tuscarawas County,43546
OH,Tuscarawas County,44121
OH,Union County,63378
OH,Union County,68650
OH,Van Wert County,45024
OH,Van Wert County,47169
OH,Vinton County,36432
OH,Vinton County,37842
OH,Warren County,73598
OH,Warren County,75041
OH,Washington County,41747
OH,Washington County,41236
OH,Wayne County,47859
OH,Wayne County,49580
OH,Williams County,42418
OH,Williams County,45510
OH,Wood County,50534
OH,Wood County,52578
OH,Wyandot County,46327
OH,Wyandot County,46568
OK,Adair County,31544
OK,Adair County,31997
OK,Alfalfa County,43892
OK,Alfalfa County,50190
OK,Atoka County,36614
OK,Atoka County,34973
OK,Beaver County,52134
OK,Beaver County,55279
OK,Beckham County,50342
OK,Beckham County,49578
OK,Blaine County,40797
OK,Blaine County,41276
OK,Bryan County,37157
OK,Bryan County,36601
OK,Caddo County,34246
OK,Caddo County,37298
OK,Canadian County,62984
OK,Canadian County,63889
OK,Carter County,45787
OK,Carter County,43030
OK,Cherokee County,35482
OK,Cherokee County,36643
OK,Choctaw County,30115
OK,Choctaw County,30972
OK,Cimarron County,39376
OK,Cimarron County,39617
OK,Cleveland County,54036
OK,Cleveland County,54865
OK,Coal County,33185
OK,Coal County,35538
OK,Comanche County,44726
OK,Comanche County,42733
OK,Cotton County,38044
OK,Cotton County,40608
OK,Craig County,37586
OK,Craig County,36932
OK,Creek County,44130
OK,Creek County,44608
OK,Custer County,44842
OK,Custer County,47399
OK,Delaware County,36765
OK,Delaware County,36225
OK,Dewey County,45763
OK,Dewey County,49308
OK,Ellis County,49545
OK,Ellis County,49804
OK,Garfield County,45370
OK,Garfield County,47961
OK,Garvin County,37980
OK,Garvin County,38414
OK,Grady County,47619
OK,Grady County,48671
OK,Grant County,45138
OK,Grant County,51119
OK,Greer County,33761
OK,Greer County,34806
OK,Harmon County,28570
OK,Harmon County,31707
OK,Harper County,47375
OK,Harper County,45395
OK,Haskell County,32746
OK,Haskell County,35045
OK,Hughes County,30949
OK,Hughes County,34656
OK,Jackson County,40024
OK,Jackson County,41147
OK,Jefferson County,31684
OK,Jefferson County,31916
OK,Johnston County,36135
OK,Johnston County,35171
OK,Kay County,39591
OK,Kay County,41098
OK,Kingfisher County,53332
OK,Kingfisher County,54982
OK,Kiowa County,36329
OK,Kiowa County,34611
OK,Latimer County,35649
OK,Latimer County,36177
OK,Le Flore County,32778
OK,Le Flore County,35122
OK,Lincoln County,44149
OK,Lincoln County,42378
OK,Logan County,51642
OK,Logan County,57490
OK,Love County,43083
OK,Love County,46154
OK,Major County,49718
OK,Major County,52226
OK,Marshall County,36096
OK,Marshall County,38055
OK,Mayes County,38724
OK,Mayes County,41142
OK,McClain County,54495
OK,McClain County,57784
OK,McCurtain County,30712
OK,McCurtain County,31319
OK,McIntosh County,33031
OK,McIntosh County,38094
OK,Murray County,42510
OK,Murray County,49816
OK,Muskogee County,37103
OK,Muskogee County,38574
OK,Noble County,43922
OK,Noble County,47028
OK,Nowata County,38497
OK,Nowata County,40563
OK,Okfuskee County,31556
OK,Okfuskee County,34982
OK,Oklahoma County,43623
OK,Oklahoma County,45988
OK,Okmulgee County,38216
OK,Okmulgee County,36588
OK,Osage County,44528
OK,Osage County,49999
OK,Ottawa County,34581
OK,Ottawa County,35921
OK,Pawnee County,44198
OK,Pawnee County,42967
OK,Payne County,37874
OK,Payne County,39609
OK,Pittsburg County,40080
OK,Pittsburg County,41105
OK,Pontotoc County,37492
OK,Pontotoc County,40479
OK,Pottawatomie County,42255
OK,Pottawatomie County,44405
OK,Pushmataha County,30604
OK,Pushmataha County,32352
OK,Roger Mills County,49443
OK,Roger Mills County,53962
OK,Rogers County,56547
OK,Rogers County,55865
OK,Seminole County,33940
OK,Seminole County,34731
OK,Sequoyah County,34195
OK,Sequoyah County,33912
OK,Stephens County,43405
OK,Stephens County,45607
OK,Texas County,45199
OK,Texas County,46914
OK,Tillman County,32382
OK,Tillman County,35054
OK,Tulsa County,47371
OK,Tulsa County,48082
OK,Wagoner County,54839
OK,Wagoner County,53098
OK,Washington County,48851
OK,Washington County,46836
OK,Washita County,43590
OK,Washita County,46742
OK,Woods County,49416
OK,Woods County,48583
OK,Woodward County,49070
OK,Woodward County,54158
OR,Baker County,37025
OR,Baker County,42200
OR,Benton County,51890
OR,Benton County,50714
OR,Clackamas County,64231
OR,Clackamas County,66514
OR,Clatsop County,43202
OR,Clatsop County,43048
OR,Columbia County,53250
OR,Columbia County,55222
OR,Coos County,36057
OR,Coos County,37583
OR,Crook County,41232
OR,Crook County,43343
OR,Curry County,34854
OR,Curry County,37175
OR,Deschutes County,48591
OR,Deschutes County,49427
OR,Douglas County,39399
OR,Douglas County,40243
OR,Grant County,37177
OR,Grant County,40569
OR,Harney County,35848
OR,Harney County,37041
OR,Hood River County,53023
OR,Hood River County,50891
OR,Jackson County,44392
OR,Jackson County,43393
OR,Jefferson County,41426
OR,Jefferson County,41107
OR,Josephine County,35109
OR,Josephine County,37619
OR,Klamath County,38193
OR,Klamath County,37542
OR,Lake County,38668
OR,Lake County,37856
OR,Lane County,41123
OR,Lane County,43778
OR,Lincoln County,39738
OR,Lincoln County,39801
OR,Linn County,43837
OR,Linn County,44941
OR,Malheur County,33994
OR,Malheur County,34565
OR,Marion County,45631
OR,Marion County,46919
OR,Morrow County,50246
OR,Morrow County,51289
OR,Multnomah County,51580
OR,Multnomah County,53624
OR,Polk County,49636
OR,Polk County,51224
OR,Sherman County,52679
OR,Tillamook County,43558
OR,Tillamook County,41584
OR,Umatilla County,46725
OR,Umatilla County,47053
OR,Union County,41504
OR,Union County,41331
OR,Wallowa County,40554
OR,Wallowa County,42751
OR,Wasco County,41324
OR,Wasco County,42461
OR,Washington County,63566
OR,Washington County,63632
OR,Yamhill County,49656
OR,Yamhill County,57427
PA,Adams County,57919
PA,Adams County,57725
PA,Allegheny County,50831
PA,Allegheny County,51400
PA,Armstrong County,41796
PA,Armstrong County,42927
PA,Beaver County,46933
PA,Beaver County,49215
PA,Bedford County,42055
PA,Bedford County,48003
PA,Berks County,52058
PA,Berks County,55634
PA,Blair County,41154
PA,Blair County,41756
PA,Bradford County,47475
PA,Bradford County,49117
PA,Bucks County,75378
PA,Bucks County,73662
PA,Butler County,57346
PA,Butler County,58430
PA,Cambria County,39724
PA,Cambria County,40930
PA,Cameron County,39346
PA,Cameron County,37891
PA,Carbon County,48313
PA,Carbon County,44338
PA,Centre County,50088
PA,Centre County,52559
PA,Chester County,82456
PA,Chester County,83775
PA,Clarion County,41538
PA,Clarion County,40043
PA,Clearfield County,41519
PA,Clearfield County,39912
PA,Clinton County,41949
PA,Clinton County,44887
PA,Columbia County,45038
PA,Columbia County,45564
PA,Crawford County,41756
PA,Crawford County,43793
PA,Cumberland County,57982
PA,Cumberland County,60134
PA,Dauphin County,52096
PA,Dauphin County,53480
PA,Delaware County,60900
PA,Delaware County,64186
PA,Elk County,48703
PA,Elk County,46388
PA,Erie County,45935
PA,Erie County,44223
PA,Fayette County,38740
PA,Fayette County,37929
PA,Forest County,34693
PA,Forest County,38087
PA,Franklin County,51890
PA,Franklin County,53913
PA,Fulton County,46848
PA,Fulton County,46032
PA,Greene County,42819
PA,Greene County,45156
PA,Huntingdon County,43456
PA,Huntingdon County,42479
PA,Indiana County,42614
PA,Indiana County,44504
PA,Jefferson County,40876
PA,Jefferson County,41637
PA,Juniata County,42261
PA,Juniata County,46183
PA,Lackawanna County,43002
PA,Lackawanna County,44926
PA,Lancaster County,54748
PA,Lancaster County,56766
PA,Lawrence County,43346
PA,Lawrence County,43199
PA,Lebanon County,51490
PA,Lebanon County,54952
PA,Lehigh County,53457
PA,Lehigh County,53722
PA,Luzerne County,42244
PA,Luzerne County,44734
PA,Lycoming County,45306
PA,Lycoming County,46663
PA,Mc Kean County,40621
PA,Mc Kean County,41653
PA,Mercer County,41889
PA,Mercer County,43936
PA,Mifflin County,38220
PA,Mifflin County,42567
PA,Monroe County,55492
PA,Monroe County,55273
PA,Montgomery County,76924
PA,Montgomery County,77021
PA,Montour County,52625
PA,Montour County,53329
PA,Northampton County,55483
PA,Northampton County,59605
PA,Northumberland County,40814
PA,Northumberland County,41078
PA,Perry County,55287
PA,Perry County,56544
PA,Philadelphia County,35518
PA,Philadelphia County,36918
PA,Pike County,55159
PA,Pike County,60168
PA,Potter County,42097
PA,Potter County,39781
PA,Schuylkill County,44430
PA,Schuylkill County,41514
PA,Snyder County,45746
PA,Snyder County,45558
PA,Somerset County,44184
PA,Somerset County,42712
PA,Sullivan County,39396
PA,Sullivan County,41668
PA,Susquehanna County,44632
PA,Susquehanna County,49244
PA,Tioga County,43719
PA,Tioga County,45052
PA,Union County,49327
PA,Union County,49488
PA,Venango County,38351
PA,Venango County,41736
PA,Warren County,44466
PA,Warren County,42043
PA,Washington County,53545
PA,Washington County,54919
PA,Wayne County,44265
PA,Wayne County,45807
PA,Westmoreland County,49642
PA,Westmoreland County,51412
PA,Wyoming County,47497
PA,Wyoming County,47012
PA,York County,55646
PA,York County,56963
RI,Bristol County,64572
RI,Bristol County,68415
RI,Kent County,59682
RI,Kent County,63232
RI,Newport County,63434
RI,Newport County,67291
RI,Providence County,47601
RI,Providence County,47642
RI,Washington County,69150
RI,Washington County,69267
SC,Abbeville County,35456
SC,Abbeville County,36187
SC,Aiken County,45699
SC,Aiken County,43876
SC,Allendale County,25633
SC,Allendale County,25753
SC,Anderson County,39905
SC,Anderson County,41591
SC,Bamberg County,30170
SC,Bamberg County,30762
SC,Barnwell County,32042
SC,Barnwell County,31899
SC,Beaufort County,54139
SC,Beaufort County,56354
SC,Berkeley County,49872
SC,Berkeley County,50794
SC,Calhoun County,42006
SC,Calhoun County,40593
SC,Charleston County,48200
SC,Charleston County,51206
SC,Cherokee County,37135
SC,Cherokee County,37726
SC,Chester County,33718
SC,Chester County,36523
SC,Chesterfield County,31936
SC,Chesterfield County,33591
SC,Clarendon County,30519
SC,Clarendon County,30096
SC,Colleton County,33208
SC,Colleton County,33817
SC,Darlington County,34103
SC,Darlington County,34209
SC,Dillon County,29205
SC,Dillon County,33696
SC,Dorchester County,53924
SC,Dorchester County,55193
SC,Edgefield County,42065
SC,Edgefield County,44862
SC,Fairfield County,34007
SC,Fairfield County,35531
SC,Florence County,40577
SC,Florence County,41028
SC,Georgetown County,40962
SC,Georgetown County,41213
SC,Greenville County,47044
SC,Greenville County,49476
SC,Greenwood County,37187
SC,Greenwood County,37217
SC,Hampton County,32934
SC,Hampton County,32941
SC,Horry County,40249
SC,Horry County,41808
SC,Jasper County,35692
SC,Jasper County,34852
SC,Kershaw County,46019
SC,Kershaw County,44787
SC,Lancaster County,43479
SC,Lancaster County,40837
SC,Laurens County,36483
SC,Laurens County,36771
SC,Lee County,30053
SC,Lee County,30972
SC,Lexington County,52249
SC,Lexington County,53880
SC,Marion County,29140
SC,Marion County,28520
SC,Marlboro County,28927
SC,Marlboro County,31185
SC,McCormick County,39413
SC,McCormick County,38186
SC,Newberry County,38808
SC,Newberry County,37890
SC,Oconee County,42062
SC,Oconee County,42077
SC,Orangeburg County,33796
SC,Orangeburg County,32180
SC,Pickens County,39823
SC,Pickens County,42400
SC,Richland County,47606
SC,Richland County,47492
SC,Saluda County,41552
SC,Saluda County,40366
SC,Spartanburg County,41327
SC,Spartanburg County,42638
SC,Sumter County,39014
SC,Sumter County,39182
SC,Union County,32717
SC,Union County,34042
SC,Williamsburg County,28121
SC,Williamsburg County,29391
SC,York County,51427
SC,York County,54927
SD,Aurora County,46493
SD,Beadle County,46072
SD,Beadle County,43682
SD,Bennett County,33784
SD,Bennett County,35083
SD,Bon Homme County,41217
SD,Bon Homme County,45803
SD,Brookings County,49554
SD,Brookings County,51893
SD,Brown County,52239
SD,Brown County,50047
SD,Brule County,47417
SD,Brule County,45878
SD,Buffalo County,25179
SD,Buffalo County,21572
SD,Butte County,41328
SD,Butte County,41413
SD,Charles Mix County,37422
SD,Charles Mix County,37996
SD,Clark County,47901
SD,Clark County,45592
SD,Clay County,38484
SD,Clay County,41970
SD,Codington County,47400
SD,Codington County,49022
SD,Corson County,31312
SD,Corson County,31418
SD,Custer County,49902
SD,Custer County,51326
SD,Davison County,48941
SD,Davison County,47506
SD,Day County,41634
SD,Day County,44188
SD,Deuel County,48946
SD,Deuel County,52527
SD,Dewey County,33976
SD,Dewey County,34389
SD,Douglas County,49476
SD,Douglas County,48344
SD,Edmunds County,55098
SD,Edmunds County,51352
SD,Fall River County,38397
SD,Fall River County,39552
SD,Faulk County,46371
SD,Faulk County,50092
SD,Grant County,47740
SD,Grant County,51065
SD,Gregory County,35483
SD,Gregory County,35589
SD,Hamlin County,52404
SD,Hamlin County,56860
SD,Hand County,50424
SD,Hand County,50737
SD,Hanson County,60052
SD,Hanson County,57800
SD,Hughes County,55273
SD,Hughes County,57538
SD,Hutchinson County,45791
SD,Hutchinson County,44958
SD,Jackson County,38582
SD,Jackson County,35387
SD,Jerauld County,48126
SD,Kingsbury County,48628
SD,Kingsbury County,50045
SD,Lake County,50089
SD,Lake County,53116
SD,Lawrence County,42927
SD,Lawrence County,42867
SD,Lincoln County,78360
SD,Lincoln County,78567
SD,Lyman County,40874
SD,Lyman County,40057
SD,Marshall County,47765
SD,Marshall County,49254
SD,McCook County,49638
SD,McCook County,53478
SD,McPherson County,38222
SD,Meade County,51427
SD,Meade County,50711
SD,Mellette County,32164
SD,Mellette County,33460
SD,Miner County,46311
SD,Miner County,45787
SD,Minnehaha County,48932
SD,Minnehaha County,52382
SD,Moody County,51945
SD,Moody County,53712
SD,Pennington County,49033
SD,Pennington County,48886
SD,Perkins County,38695
SD,Perkins County,40042
SD,Potter County,47805
SD,Potter County,50887
SD,Roberts County,40759
SD,Roberts County,44626
SD,Sanborn County,44800
SD,Sanborn County,46936
SD,Shannon County,28406
SD,Shannon County,28512
SD,Spink County,48823
SD,Spink County,50274
SD,Stanley County,54512
SD,Stanley County,57188
SD,Todd County,28943
SD,Todd County,30549
SD,Tripp County,41905
SD,Tripp County,40975
SD,Turner County,52447
SD,Turner County,53115
SD,Union County,64772
SD,Union County,66831
SD,Walworth County,40622
SD,Walworth County,41030
SD,Yankton County,48284
SD,Yankton County,46599
SD,Ziebach County,30856
SD,Ziebach County,30465
TN,Anderson County,41038
TN,Anderson County,42365
TN,Bedford County,41726
TN,Bedford County,42288
TN,Benton County,33560
TN,Benton County,35559
TN,Bledsoe County,32591
TN,Bledsoe County,35715
TN,Blount County,46100
TN,Blount County,45348
TN,Bradley County,39821
TN,Bradley County,42665
TN,Campbell County,32895
TN,Campbell County,32325
TN,Cannon County,39262
TN,Cannon County,40809
TN,Carroll County,35591
TN,Carroll County,35929
TN,Carter County,33094
TN,Carter County,32773
TN,Cheatham County,51557
TN,Cheatham County,52544
TN,Chester County,40064
TN,Chester County,40779
TN,Claiborne County,33022
TN,Claiborne County,32775
TN,Clay County,29052
TN,Clay County,30587
TN,Cocke County,30141
TN,Cocke County,30950
TN,Coffee County,41328
TN,Coffee County,43375
TN,Crockett County,35838
TN,Crockett County,37085
TN,Cumberland County,39522
TN,Cumberland County,36163
TN,Davidson County,44864
TN,Davidson County,47239
TN,DeKalb County,35688
TN,DeKalb County,37392
TN,Decatur County,37167
TN,Decatur County,36213
TN,Dickson County,43501
TN,Dickson County,44991
TN,Dyer County,38121
TN,Dyer County,40158
TN,Fayette County,52163
TN,Fayette County,56058
TN,Fentress County,28388
TN,Fentress County,31065
TN,Franklin County,42066
TN,Franklin County,41477
TN,Gibson County,35807
TN,Gibson County,40083
TN,Giles County,38251
TN,Giles County,39880
TN,Grainger County,35278
TN,Grainger County,35301
TN,Greene County,34964
TN,Greene County,35980
TN,Grundy County,27915
TN,Grundy County,26101
TN,Hamblen County,36787
TN,Hamblen County,38807
TN,Hamilton County,47369
TN,Hamilton County,47373
TN,Hancock County,25301
TN,Hancock County,26000
TN,Hardeman County,32556
TN,Hardeman County,34766
TN,Hardin County,35154
TN,Hardin County,36154
TN,Hawkins County,36318
TN,Hawkins County,36102
TN,Haywood County,32614
TN,Haywood County,34557
TN,Henderson County,36983
TN,Henderson County,40960
TN,Henry County,35892
TN,Henry County,37327
TN,Hickman County,36356
TN,Hickman County,33816
TN,Houston County,37311
TN,Houston County,37743
TN,Humphreys County,42056
TN,Humphreys County,41954
TN,Jackson County,32013
TN,Jackson County,33158
TN,Jefferson County,39970
TN,Jefferson County,40490
TN,Johnson County,30020
TN,Johnson County,30652
TN,Knox County,46325
TN,Knox County,49105
TN,Lake County,26445
TN,Lake County,28391
TN,Lauderdale County,31672
TN,Lauderdale County,32169
TN,Lawrence County,36536
TN,Lawrence County,39532
TN,Lewis County,35062
TN,Lewis County,35097
TN,Lincoln County,42178
TN,Lincoln County,41453
TN,Loudon County,49616
TN,Loudon County,53230
TN,Macon County,35341
TN,Macon County,35432
TN,Madison County,42488
TN,Madison County,40750
TN,Marion County,39170
TN,Marion County,42128
TN,Marshall County,41455
TN,Marshall County,42363
TN,Maury County,43346
TN,Maury County,46497
TN,McMinn County,37502
TN,McMinn County,40543
TN,McNairy County,33110
TN,McNairy County,34596
TN,Meigs County,36361
TN,Meigs County,37874
TN,Monroe County,37850
TN,Monroe County,38061
TN,Montgomery County,48267
TN,Montgomery County,51059
TN,Moore County,47091
TN,Moore County,50802
TN,Morgan County,36170
TN,Morgan County,38027
TN,Obion County,38718
TN,Obion County,34469
TN,Overton County,33220
TN,Overton County,35457
TN,Perry County,31493
TN,Perry County,33017
TN,Pickett County,32023
TN,Pickett County,32398
TN,Polk County,36595
TN,Polk County,37375
TN,Putnam County,34060
TN,Putnam County,35554
TN,Rhea County,40682
TN,Rhea County,38860
TN,Roane County,41499
TN,Roane County,42037
TN,Robertson County,54065
TN,Robertson County,51093
TN,Rutherford County,53566
TN,Rutherford County,57056
TN,Scott County,29556
TN,Scott County,27749
TN,Sequatchie County,38695
TN,Sequatchie County,46460
TN,Sevier County,42490
TN,Sevier County,40444
TN,Shelby County,44382
TN,Shelby County,45067
TN,Smith County,42927
TN,Smith County,43689
TN,Stewart County,41685
TN,Stewart County,43513
TN,Sullivan County,38647
TN,Sullivan County,40385
TN,Sumner County,55100
TN,Sumner County,56077
TN,Tipton County,51246
TN,Tipton County,53183
TN,Trousdale County,41823
TN,Trousdale County,41286
TN,Unicoi County,36786
TN,Unicoi County,36568
TN,Union County,33866
TN,Union County,35255
TN,Van Buren County,35201
TN,Van Buren County,37393
TN,Warren County,33576
TN,Warren County,36327
TN,Washington County,42371
TN,Washington County,41542
TN,Wayne County,32016
TN,Wayne County,33318
TN,Weakley County,37595
TN,Weakley County,34809
TN,White County,34534
TN,White County,34320
TN,Williamson County,93003
TN,Williamson County,93241
TN,Wilson County,57676
TN,Wilson County,59655
TX,Anderson County,41530
TX,Anderson County,41279
TX,Andrews County,57690
TX,Andrews County,62781
TX,Angelina County,39747
TX,Angelina County,41804
TX,Aransas County,40883
TX,Aransas County,41666
TX,Archer County,55459
TX,Archer County,56805
TX,Armstrong County,52122
TX,Atascosa County,44828
TX,Atascosa County,46631
TX,Austin County,51448
TX,Austin County,52042
TX,Bailey County,38504
TX,Bailey County,37626
TX,Bandera County,48492
TX,Bandera County,50334
TX,Bastrop County,50024
TX,Bastrop County,50151
TX,Baylor County,33164
TX,Baylor County,34563
TX,Bee County,39070
TX,Bee County,41804
TX,Bell County,48391
TX,Bell County,50223
TX,Bexar County,49651
TX,Bexar County,49655
TX,Blanco County,52668
TX,Blanco County,54914
TX,Bosque County,40763
TX,Bosque County,42864
TX,Bowie County,40574
TX,Bowie County,41657
TX,Brazoria County,64883
TX,Brazoria County,66337
TX,Brazos County,40064
TX,Brazos County,39732
TX,Brewster County,39235
TX,Brewster County,39106
TX,Brooks County,26857
TX,Brooks County,27644
TX,Brown County,43303
TX,Brown County,38636
TX,Burleson County,43561
TX,Burleson County,45732
TX,Burnet County,49685
TX,Burnet County,49286
TX,Caldwell County,42963
TX,Caldwell County,46021
TX,Calhoun County,44736
TX,Calhoun County,51004
TX,Callahan County,41874
TX,Callahan County,42138
TX,Cameron County,31080
TX,Cameron County,33905
TX,Camp County,37232
TX,Camp County,37941
TX,Carson County,53302
TX,Carson County,59252
TX,Cass County,36172
TX,Cass County,37546
TX,Castro County,40710
TX,Castro County,40689
TX,Chambers County,73031
TX,Chambers County,74915
TX,Cherokee County,35202
TX,Cherokee County,37735
TX,Childress County,34731
TX,Childress County,33919
TX,Clay County,51960
TX,Clay County,50336
TX,Cochran County,35652
TX,Cochran County,37242
TX,Coke County,37891
TX,Coke County,38866
TX,Coleman County,32231
TX,Coleman County,33014
TX,Collin County,81992
TX,Collin County,81315
TX,Collingsworth County,35484
TX,Collingsworth County,35389
TX,Colorado County,40702
TX,Colorado County,42438
TX,Comal County,59081
TX,Comal County,70322
TX,Comanche County,36522
TX,Comanche County,35434
TX,Concho County,37147
TX,Concho County,39035
TX,Cooke County,51473
TX,Cooke County,53565
TX,Coryell County,46132
TX,Coryell County,50161
TX,Crane County,55599
TX,Crane County,58901
TX,Crockett County,46713
TX,Crockett County,50243
TX,Crosby County,36492
TX,Crosby County,35443
TX,Dallam County,40312
TX,Dallam County,42378
TX,Dallas County,47343
TX,Dallas County,47902
TX,Dawson County,36312
TX,Dawson County,38333
TX,DeWitt County,40515
TX,DeWitt County,45937
